PropID,Boro,Community Board,Council District,Garden Name,Address,Size,Jurisdiction,NeighborhoodName,Cross Streets,Latitude,Longitude,Postcode,Census Tract,BIN,BBL,NTA
NA,B,B02,33,David Foulke Community Garden,248-250 Bergen Street,0.073,TPL,Boerum Hill,Bond & Nevins Streets.,40.684364,-73.984438,11217,71,3000000,3003870038,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
NA,X,X07,14,Davidson Avenue Community Garden,2385 Davidson Avenue,0.115,TPL,,W. 184th Street & W. Fordham Rd.,40.861379,-73.903254,10468,253,       ,          ,Kingsbridge Heights                                                        
M336,M,M03,2,De Colores Community Garden,311-313 E 8th Street,0.066,DPR,East Village,Active,40.725296,-73.979821,10009,2602,1000000,1003910054,Lower East Side                                                            
NA,B,B04,37,Decatur Street Community Garden,1052 Decatur Street,0.057,NYRP,,Bushwick & Evergreen Avenues,40.685985,-73.910265,11207,403,3000000,3034330014,Bushwick South                                                             
X179A,X,X02,17,Demera/Santiago Garden,941-943 Avenue St. John,0.126,DPR,,Not GreenThumb,40.815229,-73.902569,10455,83,2000000,2026850030,Longwood                                                                   
M323,M,M11,8,Diamante Garden (Block and School Association),306-310 East 118th Street,0.186,DPR,East Harlem,Active,40.798107,-73.936371,10035,188,1000000,1016890047,East Harlem North                                                          
M337,M,M03,2,Dias y Flores,520-522 East 13th Street,0.119,DPR,East Village,Active,40.729306,-73.979885,10009,34,1000000,1004060016,East Village                                                               
NA,M,M12,7,Dorothy K. McGowan Memorial Garden,513 W 158th Street,0.045,TPL,Washington Heights,Amsterdam Avenue & Broadway,40.833766,-73.942217,10032,245,1000000,1021170046,Washington Heights South                                                   
M302,M,M11,,Dream Street Park,223 - 231 E. 124 St.,0.252,DPR,,,40.802742,-73.935612,10035,242,1000000,1017890011,East Harlem North                                                          
X271A,X,X04,16,Dred Scott Bird Sanctuary Garden and Park,E 169th Street,0.473,DPR,,Active,,,,,,,
NA,X,X06,15,Drew Garden - I.S. 167,East Tremont Avenue,NA,DOT,,west of E. 177th Street & BX River,,,,,,,
NA,Q,Q12,28,Dunton Block and Civic Association. Inc.,Remington Street,0.551,TPL,,At Shore Avenue,,,,,,,
NA,M,M12,10,Dyckman Valley School - P.S. 152,93 Nagle Avenue,0.09,DOE,,Ellwood & Sicles Streets.,40.860412,-73.927936,10040,283,1064149,1021730001,Washington Heights North                                                   
M324,M,M03,2,Earth People,333-335 East 8th Street,0.106,DPR,East Village,Active,40.725022,-73.979172,10009,2602,1000000,1003910043,Lower East Side                                                            
NA,M,M03,1,Earth School - P.S.64,600 East 6th Street,0.271,DOE,East Village,At Avenue B,40.72438,-73.98138,10009,2601,1004627,1003870001,Lower East Side                                                            
NA,M,M11,,East 103rd Street Community Garden,105 E 103rd Street,NA,NYRP,,Lexington & Park Avenues,40.790817,-73.948859,10029,166,1000000,1016310002,East Harlem South                                                          
NA,X,X01,8,East 143rd Street Community Garden (Bronx Community & Cultural Garden or North Church Garden),401 E 143rd Street,0.208,NYRP,,At Willis,40.812172,-73.920336,10454,41,2000000,2022880001,Mott Haven-Port Morris                                                     
B414,B,B06,15,East 4th St. Com. Gar.(Windsor Terrace Kensington Veterans Mem.),171 E 4th Street,0.057,DPR,Kensington,Active,40.648198,-73.977358,11218,500,       ,          ,Windsor Terrace                                                            
NA,B,B05,37,East End Community Garden,530-2 Glenmore Avenue / 260 Van Siclen Avenue,0.161,DPR,East New York,At Van Siclen Avenue,,,,,,,
NA,M,M11,8,East Harlem Community Garden,429-433 East 117th Street,0.142,TPL,East Harlem,1st & Pleasant Avenues,40.796357,-73.934119,10035,178,1000000,1017110013,East Harlem North                                                          
B458,B,B09,35,Eastern Parkway Coalition,"Eastern Pkwy.,W/O Franklin",0.44,DPR,Crown Heights,Active,,,,,,,
M319B,M,M09,0,Edgecomb Avenue Garden Park Sanctuary,339-341 Edgecomb Avenue,0.112,DPR,,Active,40.826462,-73.941811,10031,231,1000000,1020530099,Hamilton Heights                                                           
X341,X,X03,17,Edith Community Garden (830 Elton Tnts. Assoc.),836 Elton Avenue,0.116,DPR,Melrose,Active,40.8227,-73.912729,10451,141,       ,          ,Morrisania-Melrose                                                         
M316,M,M10,21,Edward P. Bowman Park,52 W 129th Street,0.046,DPR,West Harlem,Active,40.809753,-73.94231,10027,208,1000000,1017260064,Central Harlem North-Polo Grounds                                          
X313,X,X01,17,El Batey Borincano,811-815 Eagle Avenue,0.17,DPR,"
Melrose",Active,40.820573,-73.909101,10456,75,2117523,2026180039,Melrose South-Mott Haven North                                             
X323,X,X06,15,El Batey de Dona Provi,504 East 178th Street,0.13,DPR,,Active,40.847974,-73.896315,10457,395,       ,          ,Claremont-Bathgate                                                         
NA,M,M11,8,El CataÃ±o Garden,169 East 110th Street,0.057,NYRP,East Harlem,3rd & Lexington Avenues,40.794391,-73.9434,10029,172,1087779,1016387501,East Harlem South                                                          
X339,X,X01,17,El Flamboyan,Tinton Avenue,0.402,DPR,,Active,,,,,,,
X277,X,X01,17,El Girasol,624-638 East 138th Street,0.085,DPR,,Active,40.806094,-73.915774,10454,2701,2000000,2025500031,Mott Haven-Port Morris                                                     
X277,X,X01,17,El Girasol,624-638 East 138th Street,0.085,HPD,,Active,40.806094,-73.915774,10454,2701,2000000,2025500031,Mott Haven-Port Morris                                                     
M268A,M,M03,2,El Jardin del Paraiso,706-718 East 5th Street /311-321 East 4th Street,0.73,DPR,East Village,Active,,,,,,,
B424,B,B01,30,El Puente: EspÃ­ritu Tierra Community Garden,203-207 South 2nd Street,0.23,DPR,Williamsburg,Active,40.712385,-73.959633,11211,523,3393848,3024070032,North Side-South Side                                                      
M339,M,M03,2,El Sol Brillante Jr.,537 East 12th Street,0.059,DPR,East Village,Active,40.728694,-73.980372,10009,34,1000000,1004060046,East Village                                                               
M340,M,M10,9,Elizabeth Langley Memorial Garden,121-123 West 137th Street,0.11,DPR,Central Harlem,Active,40.815768,-73.940759,10030,228,1000000,1020060019,Central Harlem North-Polo Grounds                                          
B460,B,B05,42,Elton Street Block Association,585 Elton Street,0.097,DPR,East New York,Active,40.668638,-73.882081,11208,1164,3000000,3040660002,East New York                                                              
NA,B,B05,37,Essex Street Community Fulton Street Garden (Fulton Street Community Garden),3030 Fulton Street,0.074,NYRP,East New York,At Essex Street,40.680441,-73.883066,11208,1168,3000000,3039560051,East New York                                                              
B461,B,B05,0,Euclid 500 Block Association.,532 Euclid Avenue,0.181,DPR,East New York,Active,40.673943,-73.871567,11208,1196,3095412,3042490079,East New York                                                              
NA,B,B05,42,Euclid Pine Block Association,,0.071,TPL,East New York,Aldride & Bay Vew,,,,,,,
B532,B,B03,,F.A.R.R. Block Association,808 Herkimer Street,0.028,DPR,,Active,40.678383,-73.926777,11233,299,3000000,3017090022,Crown Heights North                                                        
B462,B,B05,42,Family Community Garden - Brooklyn,793 Cleveland Street,0.275,DPR,East New York,Active,40.665184,-73.881518,11208,1120,3097072,3043130055,East New York                                                              
M330,M,M11,8,Family Community Garden - Manhattan,156 East 111th Street,0.04,DPR,East Harlem,Active,40.79527,-73.943572,10029,172,1000000,1016380050,East Harlem South                                                          
NA,M,M11,8,Family Garden,431 East 114th Street,0.057,NYRP,East Harlem,1st & Pleasant Avenues,40.794189,-73.935108,10029,178,1000000,1017080017,East Harlem North                                                          
X337,X,X01,17,Family Group Garden,419 East 158th Street,0.101,DPR,Melrose,Active,40.822053,-73.913995,10451,69,2102760,2023800127,Melrose South-Mott Haven North                                             
B463,B,B16,41,Fantasy Garden,181 Legion Street,0.23,DPR,Brownsville,Active,40.664208,-73.917132,11212,894,3000000,3035530021,Brownsville                                                                
X252B,X,X06,0,Farm in the Bronx,East 182nd Street,0.188,DPR,,Active,,,,,,,
B464,B,B16,41,Farmers Garden,1897-1905 Bergen Street,0.154,DPR,,Active,40.674381,-73.91832,11233,303,3000000,3014460163,Ocean Hill                                                                 
M310,M,M03,2,Firemens Memorial Garden Inc.,358-364 E 8th Street,0.17,DPR,East Village,Active,40.72447,-73.97791,10009,2602,1000000,1003770011,Lower East Side                                                            
